"year","value_gbp","base_year","source"
2018,2241087,2018,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2019,2285909,2019,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2020,2331627,2020,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2021,2378259,2021,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2022,2425825,2022,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2023,2474341,2023,"DfT TAG data book v2.03 (Dec 2025), Table A4.1.1, WTP element"
2024,2523828,2024,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2025,2574304,2025,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2026,2625790,2026,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2027,2678306,2027,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2028,2731872,2028,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2029,2786510,2029,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
2030,2842240,2030,"Uplifted from 2023 anchor at 2 percent real GDP per head growth"
